_id,forId,rendimiento,costo,emplatado,autor,revisor,nota1,nota2,nota3,nota4,nota5,nota6,nota7,nota8,nota9,nota10,actualizacion,proces1,proces2,proces3,proces4,proces5,proces6,proces7,proces8,proces9,proces10,proces11,proces12,proces13,proces14,proces15,proces16,proces17,proces18,proces19,proces20,item1_Id,item1_Cuantity_Units,item2_Id,item2_Cuantity_Units,item3_Id,item3_Cuantity_Units,item4_Id,item4_Cuantity_Units,item5_Id,item5_Cuantity_Units,item6_Id,item6_Cuantity_Units,item7_Id,item7_Cuantity_Units,item8_Id,item8_Cuantity_Units,item9_Id,item9_Cuantity_Units,item10_Id,item10_Cuantity_Units,item11_Id,item11_Cuantity_Units,item12_Id,item12_Cuantity_Units,item13_Id,item13_Cuantity_Units,item14_Id,item14_Cuantity_Units,item15_Id,item15_Cuantity_Units,item16_Id,item16_Cuantity_Units,item17_Id,item17_Cuantity_Units,item18_Id,item18_Cuantity_Units,item19_Id,item19_Cuantity_Units,item20_Id,item20_Cuantity_Units,item21_Id,item21_Cuantity_Units,item22_Id,item22_Cuantity_Units,item23_Id,item23_Cuantity_Units,item24_Id,item24_Cuantity_Units,item25_Id,item25_Cuantity_Units,item26_Id,item26_Cuantity_Units,item27_Id,item27_Cuantity_Units,item28_Id,item28_Cuantity_Units,item29_Id,item29_Cuantity_Units,item30_Id,item30_Cuantity_Units,producto_interno1_Id,producto_interno1_Cuantity_Units,producto_interno2_Id,producto_interno2_Cuantity_Units,producto_interno3_Id,producto_interno3_Cuantity_Units,producto_interno4_Id,producto_interno4_Cuantity_Units,producto_interno5_Id,producto_interno5_Cuantity_Units,producto_interno6_Id,producto_interno6_Cuantity_Units,producto_interno7_Id,producto_interno7_Cuantity_Units,producto_interno8_Id,producto_interno8_Cuantity_Units,producto_interno9_Id,producto_interno9_Cuantity_Units,producto_interno10_Id,producto_interno10_Cuantity_Units,producto_interno11_Id,producto_interno11_Cuantity_Units,producto_interno12_Id,producto_interno12_Cuantity_Units,producto_interno13_Id,producto_interno13_Cuantity_Units,producto_interno14_Id,producto_interno14_Cuantity_Units,producto_interno15_Id,producto_interno15_Cuantity_Units,producto_interno16_Id,producto_interno16_Cuantity_Units,producto_interno17_Id,producto_interno17_Cuantity_Units,producto_interno18_Id,producto_interno18_Cuantity_Units,producto_interno19_Id,producto_interno19_Cuantity_Units,producto_interno20_Id,producto_interno20_Cuantity_Units,legacyName,precioUnitario,UNIDADES,ProcessTime
1dff09b7-d3e4-44ac-b1ff-3d913eef571e,1dff09b7-d3e4-44ac-b1ff-3d913eef571e,"{""porcion"":"""",""cantidad"":"""",""unidades"":""""}",,,Autor por defecto,Revisor por defecto,,,,,,,,,,,2025-06-24,"Retirar todos los platos, baseso , cubiertos y cualquier otro elemento que deba ser lavado o pueda estorbar en la limpieza","disparar dos veces con el spray de citronela ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sin nombre,,,
5371e8d0-3229-4bb3-bffc-601e97e132d0,5371e8d0-3229-4bb3-bffc-601e97e132d0,"{""porcion"":"""",""cantidad"":"""",""unidades"":""""}","{""vIB"":null,""pIB"":null,""vCMP"":0,""pCMPInicial"":0.35,""pCMPReal"":null,""PPVii"":0,""costoTiempo"":null}",,Autor por defecto,Revisor por defecto,,,,,,,,,,,2025-07-02,Sacar todo el café de la tolva y retírala del molino,"Volcar todo el café restante del molino en un recipiente aparte ",Retirar las cuchillas superiores y con la brocha retirar todo el polvo de café de ambas cuchillas (superior que es la pieza que se retira y la inferior que son las fijas),Garantizar que los seguros de la cuchilla superior queden bien limpios y libres de polvo,Armar de nuevo el molino y la tolva teniendo en cuenta los respectivos seguros queden en su lugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sin nombre,,,10
89ea4d10-57ee-4b9a-941e-2e9107cd4ec4,89ea4d10-57ee-4b9a-941e-2e9107cd4ec4,"{""porcion"":"""",""cantidad"":"""",""unidades"":""""}","{""vIB"":null,""pIB"":null,""vCMP"":null,""pCMPInicial"":0.35,""pCMPReal"":null,""PPVii"":null,""costoTiempo"":null}",,Autor por defecto,Revisor por defecto,,,,,,,,,,,2025-08-06,,,,,,,,,,,,,,,,,,,,,545fecf6-b583-49eb-8cc0-94d432fef015,"{""metric"":{""cuantity"":""30"",""units"":null}}",2c8c89ed-3f0d-4a1d-a6a4-36c1f2c3fc3d,"{""metric"":{""cuantity"":""1"",""units"":""li""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sin nombre,,,
cfaf879f-dfae-4902-86af-367954cd0850,cfaf879f-dfae-4902-86af-367954cd0850,"{""porcion"":"""",""cantidad"":"""",""unidades"":""""}","{""vIB"":null,""pIB"":null,""vCMP"":49,""pCMPInicial"":0.35,""pCMPReal"":0.32,""PPVii"":153,""costoTiempo"":null}",,Autor por defecto,Revisor por defecto,,,,,,,,,,,2025-06-24,Desconectar de la fuente de electricidad.,"Retirar todos los productos alimenticios o de bebidas, y todos aquellos productos con alto riesgo de descomposición. Deben guardarse en otra nevera o cubrirse con un trapo grueso para mantener la cadena de frío lo más posible. Estos productos son: lácteos, cárnicos, hielo, entre otros.	","Retirar todos los entrepaños y piezas móviles, y dejarlos aparte para lavado en un Pozuelo.	",Pasar un trapo seco por todas las superficies para retirar toda la suciedad gruesa.,"En un recipiente de plástico, combinar el jabón y agua.	","Con una esponja humedecida en la mezcla, restregar todas las superficies para retirar toda la suciedad fina y los pegotes.	",Enjuagar con agua y retirar el exceso.	,"En otro recipiente, mezclar el desinfectante según las especificaciones del fabricante.	","Usando guantes, humedecer un trapo en la mezcla del desinfectante, escurrirlo y pasarlo por todas las superficies.	",Dejar secar al aire.	,Repetir los pasos del 4 al 10 con los entrepaños y partes móviles,Ingresar todos los entrepaños y partes móviles.,"Ingresar todos los productos alimenticios, lavando con agua y jabón aquellos productos que puedan tener derrames en la superficie del envase o bolsa.","Retirar todos los productos que se consideren de rotación, esto se determina al revisar el rótulo, su fecha y el estado mismo del producto",Llenar el formato de limpieza y desinfección correspondiente.,,,,,,2c8c89ed-3f0d-4a1d-a6a4-36c1f2c3fc3d,"{""metric"":{""cuantity"":""1"",""units"":""li""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2e5c8f24-ed69-4f2f-a388-4a28c5ad3307,"{""metric"":{""cuantity"":""10"",""units"":""ml""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,,,
