_id,DescripcionGeneral,Categoria,Receta,tittle
1dff09b7-d3e4-44ac-b1ff-3d913eef571e,"Para la correcta limpieza, desfieccion, fumigacion y mantenimiento de las mesas ",MESAS,1dff09b7-d3e4-44ac-b1ff-3d913eef571e,Limpieza de Mesas
5371e8d0-3229-4bb3-bffc-601e97e132d0,"por el cual se define la limpieza cotidiana del molino de café y en casos de atasco ",CAFE,5371e8d0-3229-4bb3-bffc-601e97e132d0,Limpieza de Molino SAGE
89ea4d10-57ee-4b9a-941e-2e9107cd4ec4,Para la correcta limpieza y desinfección de la máquina de espresso.,CAFE,89ea4d10-57ee-4b9a-941e-2e9107cd4ec4,Limpieza y desinfección máquina de esspreso
cfaf879f-dfae-4902-86af-367954cd0850,"El cual debe  ser leído y aprendido para el correcto manejo de ",COCINA,cfaf879f-dfae-4902-86af-367954cd0850,Lavado de neveras
